func	2:0	27:0	0	int	main
params	2:9	0:0	1	
param	2:10	2:14	2	void
stmnts	4:4	26:12	1	
water	4:4	0:0	2	(
water	4:5	0:0	2	void
water	4:9	0:0	2	)
call	4:10	4:42	2	setvbuf
arg	4:19	4:25	3	stdout
water	4:19	0:0	4	stdout
arg	4:27	4:31	3	NULL
water	4:27	0:0	4	NULL
arg	4:33	4:39	3	_IONBF
water	4:33	0:0	4	_IONBF
arg	4:41	4:42	3	0
water	4:41	0:0	4	0
water	4:43	0:0	2	;
call	5:4	5:16	2	test
arg	5:10	5:12	3	""
water	5:10	0:0	4	""
arg	5:14	5:16	3	""
water	5:14	0:0	4	""
water	5:17	0:0	2	;
call	6:4	7:44	2	test
arg	6:10	6:44	3	"this_should_not_be_modified_1234"
water	6:10	0:0	4	"this_should_not_be_modified_1234"
arg	7:10	7:44	3	"this_should_not_be_modified_1234"
water	7:10	0:0	4	"this_should_not_be_modified_1234"
water	7:45	0:0	2	;
call	8:4	8:21	2	test
arg	8:10	8:16	3	"\xFF"
water	8:10	0:0	4	"\xFF"
arg	8:18	8:21	3	"?"
water	8:18	0:0	4	"?"
water	8:22	0:0	2	;
call	9:4	9:50	2	test
arg	9:10	9:29	3	"\xEF\xBB\xBFHello"
water	9:10	0:0	4	"\xEF\xBB\xBFHello"
arg	9:31	9:50	3	"\xEF\xBB\xBFHello"
water	9:31	0:0	4	"\xEF\xBB\xBFHello"
water	9:51	0:0	2	;
call	10:4	10:24	2	test
arg	10:10	10:20	3	"\x00\xE9"
water	10:10	0:0	4	"\x00\xE9"
arg	10:22	10:24	3	""
water	10:22	0:0	4	""
water	10:25	0:0	2	;
call	11:4	11:66	2	test
arg	11:10	11:49	3	"T\xC3\xA9l\xC3\xA9vision \xE2\x82\xAC"
water	11:10	0:0	4	"T\xC3\xA9l\xC3\xA9vision \xE2\x82\xAC"
arg	11:51	11:66	3	"Télévision �?"
water	11:51	0:0	4	"Télévision �?"
water	11:67	0:0	2	;
call	12:4	12:42	2	test
arg	12:10	12:28	3	"T\xE9l\xE9vision"
water	12:10	0:0	4	"T\xE9l\xE9vision"
arg	12:30	12:42	3	"T?l?vision"
water	12:30	0:0	4	"T?l?vision"
water	12:43	0:0	2	;
call	13:4	13:58	2	test
arg	13:10	13:43	3	"\xC1\x94\xC3\xa9l\xC3\xA9vision"
water	13:10	0:0	4	"\xC1\x94\xC3\xa9l\xC3\xA9vision"
arg	13:45	13:58	3	"??élévision"
water	13:45	0:0	4	"??élévision"
water	13:59	0:0	2	;
call	14:4	14:46	2	test
arg	14:10	14:33	3	"Hel\xF0\x83\x85\x87lo"
water	14:10	0:0	4	"Hel\xF0\x83\x85\x87lo"
arg	14:35	14:46	3	"Hel????lo"
water	14:35	0:0	4	"Hel????lo"
water	14:47	0:0	2	;
call	15:4	15:30	2	test_strcasestr
arg	15:21	15:23	3	""
water	15:21	0:0	4	""
arg	15:25	15:27	3	""
water	15:25	0:0	4	""
arg	15:29	15:30	3	0
water	15:29	0:0	4	0
water	15:31	0:0	2	;
call	16:4	16:32	2	test_strcasestr
arg	16:21	16:23	3	""
water	16:21	0:0	4	""
arg	16:25	16:28	3	"a"
water	16:25	0:0	4	"a"
arg	16:30	16:32	3	-1
op	16:30	0:0	4	-
water	16:31	0:0	4	1
water	16:33	0:0	2	;
call	17:4	17:31	2	test_strcasestr
arg	17:21	17:24	3	"a"
water	17:21	0:0	4	"a"
arg	17:26	17:28	3	""
water	17:26	0:0	4	""
arg	17:30	17:31	3	0
water	17:30	0:0	4	0
water	17:32	0:0	2	;
call	18:4	18:36	2	test_strcasestr
arg	18:21	18:28	3	"heLLo"
water	18:21	0:0	4	"heLLo"
arg	18:30	18:33	3	"l"
water	18:30	0:0	4	"l"
arg	18:35	18:36	3	2
water	18:35	0:0	4	2
water	18:37	0:0	2	;
call	19:4	19:37	2	test_strcasestr
arg	19:21	19:28	3	"heLLo"
water	19:21	0:0	4	"heLLo"
arg	19:30	19:34	3	"lo"
water	19:30	0:0	4	"lo"
arg	19:36	19:37	3	3
water	19:36	0:0	4	3
water	19:38	0:0	2	;
call	20:4	20:38	2	test_strcasestr
arg	20:21	20:28	3	"heLLo"
water	20:21	0:0	4	"heLLo"
arg	20:30	20:35	3	"llo"
water	20:30	0:0	4	"llo"
arg	20:37	20:38	3	2
water	20:37	0:0	4	2
water	20:39	0:0	2	;
call	21:4	21:38	2	test_strcasestr
arg	21:21	21:28	3	"heLLo"
water	21:21	0:0	4	"heLLo"
arg	21:30	21:34	3	"la"
water	21:30	0:0	4	"la"
arg	21:36	21:38	3	-1
op	21:36	0:0	4	-
water	21:37	0:0	4	1
water	21:39	0:0	2	;
call	22:4	22:38	2	test_strcasestr
arg	22:21	22:28	3	"heLLo"
water	22:21	0:0	4	"heLLo"
arg	22:30	22:34	3	"oa"
water	22:30	0:0	4	"oa"
arg	22:36	22:38	3	-1
op	22:36	0:0	4	-
water	22:37	0:0	4	1
water	22:39	0:0	2	;
call	23:4	23:35	2	test_strcasestr
arg	23:21	23:27	3	"Télé"
water	23:21	0:0	4	"Télé"
arg	23:29	23:32	3	"é"
water	23:29	0:0	4	"é"
arg	23:34	23:35	3	1
water	23:34	0:0	4	1
water	23:36	0:0	2	;
call	24:4	24:37	2	test_strcasestr
arg	24:21	24:27	3	"Télé"
water	24:21	0:0	4	"Télé"
arg	24:29	24:34	3	"élé"
water	24:29	0:0	4	"élé"
arg	24:36	24:37	3	1
water	24:36	0:0	4	1
water	24:38	0:0	2	;
call	25:4	25:38	2	test_strcasestr
arg	25:21	25:27	3	"Télé"
water	25:21	0:0	4	"Télé"
arg	25:29	25:34	3	"léé"
water	25:29	0:0	4	"léé"
arg	25:36	25:38	3	-1
op	25:36	0:0	4	-
water	25:37	0:0	4	1
water	25:39	0:0	2	;
return	26:4	26:12	2	0
water	26:11	0:0	3	0
