func	1:0	28:0	0	int	main
params	1:8	0:0	1	
param	1:9	1:13	2	void
stmnts	0:0	27:12	1	
decl	3:4	3:14	2	AVTEA	*ctx
decl	4:4	4:25	2	uint8_t	buf[8]
water	4:18	0:0	2	,
decl	4:4	4:25	2	uint8_t	iv[8]
decl	5:4	5:9	2	int	i
water	6:4	0:0	2	static
water	6:11	0:0	2	const
water	6:17	0:0	2	uint8_t
water	6:25	0:0	2	src
op	6:28	0:0	2	[
water	6:29	0:0	2	32
op	6:31	0:0	2	]
op	6:33	0:0	2	=
water	6:35	0:0	2	"HelloWorldHelloWorldHelloWorld"
water	6:67	0:0	2	;
decl	7:4	7:18	2	uint8_t	ct[32]
decl	8:4	8:18	2	uint8_t	pl[32]
water	9:4	0:0	2	ctx
op	9:8	0:0	2	=
call	9:10	9:23	2	av_tea_alloc
water	9:24	0:0	2	;
if	10:4	11:16	2	(! ctx)
cond	10:8	10:9	3	! ctx
op	10:8	0:0	4	!
water	10:9	0:0	4	ctx
stmts	11:8	11:16	3	
return	11:8	11:16	4	1
water	11:15	0:0	5	1
for	12:4	24:4	2	(i = 0 ;i < TEA_NUM_TESTS;i ++)
forinit	12:9	12:14	3	i = 0 ;
water	12:9	0:0	4	i
op	12:11	0:0	4	=
water	12:13	0:0	4	0
water	12:14	0:0	4	;
cond	12:16	12:20	3	i < TEA_NUM_TESTS
water	12:16	0:0	4	i
op	12:18	0:0	4	<
water	12:20	0:0	4	TEA_NUM_TESTS
forexpr	12:35	12:36	3	i ++
water	12:35	0:0	4	i
op	12:36	0:0	4	++
stmts	12:40	24:4	3	
water	12:40	0:0	4	{
call	13:8	13:44	4	av_tea_init
arg	13:20	13:23	5	ctx
water	13:20	0:0	6	ctx
arg	13:25	13:40	5	tea_test_key[i]
water	13:25	0:0	6	tea_test_key
op	13:37	0:0	6	[
water	13:38	0:0	6	i
op	13:39	0:0	6	]
arg	13:42	13:44	5	64
water	13:42	0:0	6	64
water	13:45	0:0	4	;
call	14:8	14:83	4	test_tea
arg	14:17	14:20	5	ctx
water	14:17	0:0	6	ctx
arg	14:22	14:25	5	buf
water	14:22	0:0	6	buf
arg	14:27	14:41	5	tea_test_pt[i]
water	14:27	0:0	6	tea_test_pt
op	14:38	0:0	6	[
water	14:39	0:0	6	i
op	14:40	0:0	6	]
arg	14:43	14:57	5	tea_test_ct[i]
water	14:43	0:0	6	tea_test_ct
op	14:54	0:0	6	[
water	14:55	0:0	6	i
op	14:56	0:0	6	]
arg	14:59	14:60	5	1
water	14:59	0:0	6	1
arg	14:62	14:66	5	NULL
water	14:62	0:0	6	NULL
arg	14:68	14:69	5	0
water	14:68	0:0	6	0
arg	14:71	14:83	5	"encryption"
water	14:71	0:0	6	"encryption"
water	14:84	0:0	4	;
call	15:8	15:83	4	test_tea
arg	15:17	15:20	5	ctx
water	15:17	0:0	6	ctx
arg	15:22	15:25	5	buf
water	15:22	0:0	6	buf
arg	15:27	15:41	5	tea_test_ct[i]
water	15:27	0:0	6	tea_test_ct
op	15:38	0:0	6	[
water	15:39	0:0	6	i
op	15:40	0:0	6	]
arg	15:43	15:57	5	tea_test_pt[i]
water	15:43	0:0	6	tea_test_pt
op	15:54	0:0	6	[
water	15:55	0:0	6	i
op	15:56	0:0	6	]
arg	15:59	15:60	5	1
water	15:59	0:0	6	1
arg	15:62	15:66	5	NULL
water	15:62	0:0	6	NULL
arg	15:68	15:69	5	1
water	15:68	0:0	6	1
arg	15:71	15:83	5	"decryption"
water	15:71	0:0	6	"decryption"
water	15:84	0:0	4	;
call	17:8	17:32	4	memcpy
arg	17:15	17:17	5	iv
water	17:15	0:0	6	iv
arg	17:19	17:29	5	"HALLO123"
water	17:19	0:0	6	"HALLO123"
arg	17:31	17:32	5	8
water	17:31	0:0	6	8
water	17:33	0:0	4	;
call	18:8	18:43	4	av_tea_crypt
arg	18:21	18:24	5	ctx
water	18:21	0:0	6	ctx
arg	18:26	18:28	5	ct
water	18:26	0:0	6	ct
arg	18:30	18:33	5	src
water	18:30	0:0	6	src
arg	18:35	18:36	5	4
water	18:35	0:0	6	4
arg	18:38	18:40	5	iv
water	18:38	0:0	6	iv
arg	18:42	18:43	5	0
water	18:42	0:0	6	0
water	18:44	0:0	4	;
call	20:8	20:32	4	memcpy
arg	20:15	20:17	5	iv
water	20:15	0:0	6	iv
arg	20:19	20:29	5	"HALLO123"
water	20:19	0:0	6	"HALLO123"
arg	20:31	20:32	5	8
water	20:31	0:0	6	8
water	20:33	0:0	4	;
call	21:8	21:61	4	test_tea
arg	21:17	21:20	5	ctx
water	21:17	0:0	6	ctx
arg	21:22	21:24	5	pl
water	21:22	0:0	6	pl
arg	21:26	21:28	5	ct
water	21:26	0:0	6	ct
arg	21:30	21:33	5	src
water	21:30	0:0	6	src
arg	21:35	21:36	5	4
water	21:35	0:0	6	4
arg	21:38	21:40	5	iv
water	21:38	0:0	6	iv
arg	21:42	21:43	5	1
water	21:42	0:0	6	1
arg	21:45	21:61	5	"CBC decryption"
water	21:45	0:0	6	"CBC decryption"
water	21:62	0:0	4	;
call	22:8	22:32	4	memcpy
arg	22:15	22:17	5	iv
water	22:15	0:0	6	iv
arg	22:19	22:29	5	"HALLO123"
water	22:19	0:0	6	"HALLO123"
arg	22:31	22:32	5	8
water	22:31	0:0	6	8
water	22:33	0:0	4	;
call	23:8	23:69	4	test_tea
arg	23:17	23:20	5	ctx
water	23:17	0:0	6	ctx
arg	23:22	23:24	5	ct
water	23:22	0:0	6	ct
arg	23:26	23:28	5	ct
water	23:26	0:0	6	ct
arg	23:30	23:33	5	src
water	23:30	0:0	6	src
arg	23:35	23:36	5	4
water	23:35	0:0	6	4
arg	23:38	23:40	5	iv
water	23:38	0:0	6	iv
arg	23:42	23:43	5	1
water	23:42	0:0	6	1
arg	23:45	23:69	5	"CBC inplace decryption"
water	23:45	0:0	6	"CBC inplace decryption"
water	23:70	0:0	4	;
water	24:4	0:0	4	}
call	25:4	25:50	2	printf
arg	25:11	25:50	3	"Test encryption/decryption success.\n"
water	25:11	0:0	4	"Test encryption/decryption success.\n"
water	25:51	0:0	2	;
call	26:4	26:15	2	av_free
arg	26:12	26:15	3	ctx
water	26:12	0:0	4	ctx
water	26:16	0:0	2	;
return	27:4	27:12	2	0
water	27:11	0:0	3	0
