func	2:0	7:0	0	int	playlist_DeleteItem
params	2:23	0:0	1	
param	2:25	2:48	2	playlist_t *	p_playlist
param	2:50	2:73	2	playlist_item_t *	p_item
param	3:24	3:36	2	bool	b_stop
stmnts	5:4	6:65	1	
call	5:4	5:19	2	assert
arg	5:12	5:19	3	b_stop
water	5:12	0:0	4	b_stop
water	5:20	0:0	2	;
return	6:4	6:65	2	playlist_NodeDelete(p_playlist,p_item,true,false)
call	6:11	6:64	3	playlist_NodeDelete
arg	6:32	6:42	4	p_playlist
water	6:32	0:0	5	p_playlist
arg	6:44	6:50	4	p_item
water	6:44	0:0	5	p_item
arg	6:52	6:56	4	true
water	6:52	0:0	5	true
arg	6:58	6:64	4	false
water	6:58	0:0	5	false
